order_id,product_id,quantity,price,order_date
72810698,PROD-7852,8,157.08,2025-02-26
e21fd7c1,PROD-5242,6,617.45,2025-02-17
5b3178ae,PROD-4128,1,945.88,2025-02-04
19f88010,PROD-3613,2,970.81,2025-02-25
242a8e9e,PROD-9817,7,957.29,2025-02-14
cb711aef,PROD-6629,4,28.59,2025-02-08
7a092a25,PROD-9966,10,167.65,2025-03-01
ca672d1c,PROD-2055,1,547.28,2025-02-20
ee9ad2d3,PROD-7785,6,46.78,2025-02-02
78b693a3,PROD-2662,6,226.61,2025-03-01
43c55cd8,PROD-4812,9,635.17,2025-02-18
4d8e21b4,PROD-3520,5,556.45,2025-02-02
468731ab,PROD-8529,4,29.94,2025-02-09
d0a1f65b,PROD-2964,9,325.26,2025-02-02
94d91437,PROD-4133,3,94.51,2025-02-14
e300784d,PROD-3399,6,250.55,2025-02-16
c7613252,PROD-8721,2,466.8,2025-02-27
2f2c79f6,PROD-4027,2,591.27,2025-02-11
1f239b68,PROD-3544,1,146.69,2025-02-06
3c8bf216,PROD-3106,1,485.55,2025-02-25
e0ae7533,PROD-7920,3,649.45,2025-02-18
eed1535f,PROD-2870,8,737.88,2025-02-06
42b976cf,PROD-6597,4,848.27,2025-02-20
279211e8,PROD-8500,9,423.74,2025-03-02
7ef03ee0,PROD-8021,5,413.1,2025-02-08
fa0ac295,PROD-9748,4,856.42,2025-02-06
c447dfd1,PROD-1915,4,168.35,2025-02-23
144857ff,PROD-2066,7,651.71,2025-02-25
50d1499b,PROD-5333,9,865.74,2025-02-06
17c70169,PROD-4073,5,138.66,2025-02-02
b5984eba,PROD-9966,1,862.9,2025-02-24
911e68d7,PROD-8276,7,680.25,2025-02-08
96103e5a,PROD-3047,2,367.1,2025-02-04
8049d278,PROD-4293,9,959.49,2025-02-13
401b86c2,PROD-1550,3,920.84,2025-02-02
2ccb5a5d,PROD-6414,3,154.29,2025-02-28
18b368da,PROD-1618,9,716.53,2025-02-24
4d126126,PROD-2179,10,163.1,2025-02-10
1cadd584,PROD-6239,6,225.98,2025-02-13
970f87ef,PROD-5162,9,691.85,2025-02-11
ebec05c2,PROD-9802,1,988.89,2025-02-14
fe08c55e,PROD-5693,6,808.21,2025-02-08
04bb29ef,PROD-1055,10,333.35,2025-02-02
68617ab5,PROD-3497,6,594.08,2025-02-08
f943d27d,PROD-1035,9,667.32,2025-02-01
f167fa41,PROD-7114,2,688.93,2025-02-08
fdb735e8,PROD-6806,4,340.72,2025-02-01
5e7d4c32,PROD-4716,9,639.86,2025-02-09
693241e6,PROD-1610,1,499.84,2025-02-15
3df58efa,PROD-1803,5,823.8,2025-02-23
